"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"accidents";"frequency";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
168;40000;1850,71127631;6375,82576857;31773,46;232,533810318;200,034563158;2;1;2;10;3;0;0;2;1;2;0;0;10;0;1;0;0;1
169;40000;1191,85208453;3567,31494261;35240,83;971,421539485;370,846695398;2;1;15;19;5;0;0;1;2;2;0;0;9;0;1;0;0;1
170;40000;296,098875225;21515,4526537;18188,45;274,295260348;28,3480326791;65;1;8;31;1;0;0;1;1;11;0;0;4;0;2;0;0;1
171;40000;1547,70379125;6984,68300087;31467,61;612,478270762;209,388113288;3;1;14;2;1;0;0;2;2;3;0;0;8;0;2;0;0;1
172;40000;5766,40189755;217,085184082;34016,51;122,043795387;226,271192632;34;1;11;14;1;0;0;1;1;2;0;0;6;0;2;0;0;1
173;40000;888,282061953;1244,38765347;37867,33;523,90229792;153,476006648;34;1;16;23;1;0;0;10;2;10;0;0;16;0;1;0;0;1
174;40000;4165,66050628;73,8089383656;35760,53;204,315661058;294,602303144;21;1;2;22;1;0;0;2;2;2;0;0;3;0;4;0;0;1
175;40000;452,720981524;1711,13877722;37836,14;13,5948235787;181,944000823;2;2;4;17;3;0;0;1;3;3;0;0;9;0;1;0;0;1
176;40000;22,0386492752;1543,95501003;38434,01;496,024226989;201,550081708;1;2;14;20;1;0;0;2;2;3;0;0;12;0;1;0;0;1
177;40000;1338,51791426;11043,4361194;27618,05;783,832619967;228,602602518;2;1;9;11;2;0;0;1;2;8;0;0;5;0;1;0;0;1
178;40000;1218,89600278;8142,26878984;30638,84;381,2208425;40,9614515256;21;1;5;6;1;0;0;1;2;2;0;0;8;0;1;0;0;1
179;40000;2207,77607314;1004,19778535;36788,03;23,4399537677;40,8390082294;37;1;3;12;1;0;0;4;2;1;0;0;42;0;1;0;0;1
180;40000;8950,14454047;3253,90801579;27795,95;714,775325724;434,939268438;6;1;3;10;1;0;0;4;4;11;0;0;31;0;1;0;0;1
