"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"accidents";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
124;119259,71;1588,28060402;33072,8005896;84598,63;2888,60991907;1027,21342026;29;1;12;58;1;0;0;1;1;91;0;0;90;0;4;0;0;1
125;255158,23;29255,8651087;19185,8803044;206716,48;2287,83942508;2078,68672529;23;3;4;23;2;0;0;1;2;1;0;0;239;0;8;0;0;2
126;631231,95;21081,4543075;19913,0665755;590237,43;3281,55937482;3454,5526886;100;2;4;27;2;0;0;1;1;4;0;0;153;0;3;0;0;3
127;74664,3;10848,5966319;30099,1587403;33716,54;1861,20095933;1180,78847941;1;2;11;48;4;0;0;2;1;2;0;0;121;0;5;0;0;3
128;46318,07;10547,1151813;14832,3637326;20938,59;954,927187312;31,3566740721;161;1;5;9;1;0;0;1;3;3;0;0;17;0;3;0;0;1
129;68177,98;8727,13921847;18418,9162355;41031,92;1764,0205418;1060,08654862;35;1;18;37;1;0;0;5;3;3;0;0;38;0;3;0;0;1
130;111008,57;6767,22717056;62775,7404856;41465,6;2662,34874261;839,037676119;55;1;2;51;1;0;0;1;9;1;0;0;62;0;3;0;0;1
131;100198,75;1530,7795388;50424,0674377;48243,9;2717,4375845;993,417677416;21;1;2;68;2;0;0;2;5;5;0;0;114;0;5;0;0;3
132;130508,39;17363,7047274;49385,0688956;63759,62;3185,63690597;1297,26215057;14;3;8;89;4;0;0;1;3;1;0;0;102;0;3;0;0;1
133;65844,09;3077,04003122;14393,2900155;48373,76;1779,73964281;541,685857003;33;1;8;55;1;0;0;3;5;1;0;0;130;0;3;0;0;1
134;283011,73;25203,0997507;103089,739549;154718,89;3285,74203889;450,128072227;60;2;4;58;1;0;0;1;5;1;0;0;42;0;9;0;0;2
135;151768,51;11342,6068863;43227,8092816;97198,09;2772,36975174;451,390660656;23;2;4;38;1;0;0;1;1;1;0;0;84;0;1;0;0;1
136;71841,27;13611,4689235;12426,9999774;45802,8;1664,44921438;378,500758259;4;1;13;38;3;0;0;1;1;13;0;0;78;0;5;0;0;1
137;84195,61;21376,9225745;24411,4887025;38407,2;1256,51498;212,89801648;394;3;14;24;1;0;0;2;1;8;0;0;54;0;5;0;0;2
138;258487,01;38371,0849525;113771,810744;106344,11;6061,09415481;2385,35175454;76;1;5;139;2;0;0;6;2;8;0;0;238;0;7;0;0;3
139;110119,57;13485,332716;49638,0224252;46996,21;2740,5628075;412,021476714;140;1;17;68;1;0;0;1;2;4;0;0;89;0;2;0;0;3
140;163812,46;7395,72269286;89316,8323494;67099,9;3837,59934987;54,1309948762;162;1;15;95;4;0;0;2;4;13;0;0;100;0;1;0;0;1
141;136258,6;0;83821,2777131;52437,32;3207,46515861;1238,72498229;143;1;21;68;1;0;0;2;1;1;0;0;79;0;1;0;0;1
